,Date,Unix,Ticker,Price,Price_1y,stock_p_change,SP500,SP500_1y,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,,N/A,N/A,,N/A,N/A,46.70,33.16,4.40,4.33,13.46,17.97,6.20,1.0,13.37,19010000000.0,N/A,23.41,2.73,N/A,N/A,N/A,2200000000.0,1.0,N/A,1.78,80.20,8.10,2390000000.0,7.43,2040000000.0,3.20,13.62,560120000.0,1.0,0.39,85.20,N/A,2.34,1.64,5320000.0,N/A
1,N/A,N/A,aa,N/A,,N/A,N/A,,N/A,N/A,17.77,170.86,0.59,1.00,0.36,7.40,2.72,1.0,53.68,5860000000.0,N/A,13.41,0.22,N/A,N/A,N/A,N/A,1.0,N/A,0.19,N/A,24.70,4.36,4.36,1450000000.0,1.30,31.89,648880000.0,1.0,N/A,N/A,N/A,1.03,2.20,4660000.0,N/A
2,N/A,N/A,aapl,N/A,,N/A,N/A,,N/A,N/A,73.74,16.87,3.40,5.58,20.74,26.91,11.59,1.0,41.33,749540000000.0,N/A,13.65,1.50,N/A,N/A,N/A,84260000000.0,1.0,N/A,8.52,4.90,4.60,67260000000.00001,12.9,98880000000.0,1.39,25.76,66340000000.0,1.0,0.03,60.20,N/A,2.33,1.01,50990000.0,N/A
3,N/A,N/A,ba,N/A,,N/A,N/A,,N/A,N/A,967.10,23.41,1.23,210.19,5.52,7.52,4.82,1.0,148.84,114680000000.0,N/A,18.55,1.12,N/A,N/A,N/A,13780000000.0,1.0,N/A,8.12,19.00,7.30,9210000000.0,15.25,10800000000.0,1.25,0.16,11320000000.0,1.0,0.06,74.60,N/A,4.06,1.92,11220000.0,N/A
4,N/A,N/A,bac,N/A,,N/A,N/A,,N/A,N/A,N/A,14.63,2.90,0.98,23.60,34.91,0.87,1.0,8.00,236660000000.0,N/A,11.06,1.16,N/A,N/A,N/A,N/A,1.0,N/A,1.62,39.90,8.20,520789999999.99994,49.52,488070000000.0,N/A,24.36,5440000000.0,1.0,0.06,63.20,N/A,1.19,1.08,103450000.0,N/A
5,N/A,N/A,cma,N/A,,N/A,N/A,,N/A,N/A,N/A,21.10,4.63,1.63,22.25,37.06,0.87,1.0,16.13,12880000000.0,N/A,14.53,0.74,N/A,N/A,N/A,N/A,1.0,N/A,3.45,236.70,33.50,8420000000.0,47.59,5290000000.0,N/A,44.69,N/A,1.0,0.71,86.40,N/A,3.17,2.90,5140000.0,N/A
6,N/A,N/A,cmcsa,N/A,,N/A,N/A,,N/A,N/A,104.54,21.74,2.37,3.54,11.12,21.15,6.15,1.0,17.14,194340000000.0,N/A,18.46,1.72,N/A,N/A,N/A,55940000000.0,1.0,N/A,1.88,20.20,8.90,4019999999.9999995,0.85,61790000000.0,0.80,11.59,19500000000.0,1.0,0.16,84.60,N/A,4.72,1.26,60530000.0,N/A
7,N/A,N/A,duk,N/A,,N/A,N/A,,N/A,N/A,127.61,27.30,2.64,1.46,9.56,27.88,3.10,1.0,32.77,59920000000.0,N/A,17.73,7.28,N/A,N/A,N/A,9770000000.0,1.0,N/A,3.14,3.20,6.70,1.25,1.25,52560000000.0,0.73,58.84,6410000000.0,1.0,0.07,56.10,N/A,3.14,1.58,9750000.0,N/A
8,N/A,N/A,dva,N/A,,N/A,N/A,,N/A,N/A,143.80,10.71,0.85,2.47,8.28,11.67,5.72,1.0,74.76,12690000000.0,N/A,16.77,1.33,N/A,N/A,N/A,4099999999.9999995,1.0,N/A,6.09,359.50,3.30,1790000000.0,9.18,9090000000.0,1.64,26.41,2400000000.0,1.0,1.49,85.70,N/A,0.15,0.00,5.47,N/A
9,N/A,N/A,gild,N/A,,N/A,N/A,,N/A,N/A,125.83,6.92,2.94,4.18,43.42,58.65,20.23,1.0,22.04,85500000000.0,N/A,8.81,1.40,N/A,N/A,N/A,26130000000.0,1.0,N/A,9.46,24.20,16.50,14710000000.0,11.26,26320000000.0,2.59,15.64,15460000000.0,1.0,0.60,83.40,N/A,1.35,1.00,13510000.0,N/A
10,N/A,N/A,gis,N/A,,N/A,N/A,,N/A,N/A,184.40,21.21,2.10,8.12,10.34,18.10,8.22,1.0,26.59,32979999999.999996,N/A,17.78,3.02,N/A,N/A,N/A,5830000000.0,1.0,N/A,2.7,1.10,5.20,899100000.0,1.56,9720000000.0,0.72,7.05,2330000000.0,1.0,0.32,71.70,N/A,3.14,1.94,10880000.0,N/A
11,N/A,N/A,jcp,N/A,,N/A,N/A,,N/A,N/A,382.99,13.50,0.12,1.25,0.89,2.58,2.27,1.0,40.31,1510000000.0,N/A,11.05,0.35,N/A,N/A,N/A,4480000000.0,1.0,N/A,0.36,N/A,3.70,1.17,1.17,4620000000.0,1.58,3.89,153750000.0,1.0,1.17,85.60,N/A,4.53,34.25,82120000.0,N/A
12,N/A,N/A,jdsu,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,N/A,N/A,1.2,5.0,5.0,N/A,5.0,5.0,5.0,5.0,1.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,5.0,5.0,N/A
13,N/A,N/A,mhfi,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,N/A,N/A,1.2,5.0,5.0,N/A,5.0,5.0,5.0,5.0,1.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,5.0,5.0,N/A
14,N/A,N/A,mjn,N/A,,N/A,N/A,,N/A,N/A,N/A,28.27,4.51,N/A,16.16,23.08,12.83,1.0,19.83,16520000000.0,N/A,26.94,26.61,N/A,N/A,N/A,2400000000.0,1.0,N/A,3.18,64.90,8.20,1720000000.0,9.39,2990000000.0,2.15,2.35,727900000.0,1.0,0.21,98.70,N/A,0.98,1.99,3440000.0,N/A
15,N/A,N/A,payx,N/A,,N/A,N/A,,N/A,N/A,2.92,27.11,6.90,11.30,25.76,39.17,10.58,1.0,8.63,21430000000.0,N/A,24.95,3.21,N/A,N/A,N/A,2950000000.0,1.0,N/A,2.2,12.30,5.70,403900000.0,1.12,55400000.0,1.09,5.28,996300000.0,1.0,10.77,69.00,N/A,7.95,4.05,12750000.0,N/A
16,N/A,N/A,pbct,N/A,,N/A,N/A,,N/A,N/A,N/A,19.23,4.65,1.12,22.33,37.47,0.73,1.0,4.24,6020000000.0,N/A,16.51,4.51,N/A,N/A,N/A,N/A,1.0,N/A,0.93,12.60,5.50,877900000.0,2.83,4160000000.0,N/A,15.94,396200000.0,1.0,0.87,82.90,N/A,12.03,12.97,35640000.0,N/A
17,N/A,N/A,sai,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,N/A,N/A,1.2,5.0,5.0,N/A,5.0,5.0,5.0,5.0,1.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,5.0,5.0,N/A
18,N/A,N/A,sbux,N/A,,N/A,N/A,,N/A,N/A,70.70,30.31,4.04,15.83,13.47,18.02,18.51,1.0,15.06,88750000000.0,N/A,25.33,1.93,N/A,N/A,N/A,12800000000.0,1.0,N/A,2.02,13.50,6.00,2390000000.0,1.65,3970000000.0,1.23,3.87,4330000000.0,1.0,2.79,72.60,N/A,1.49,0.98,15240000.0,N/A
19,N/A,N/A,trv,N/A,,N/A,N/A,,N/A,N/A,27.27,12.36,1.27,1.49,10.59,14.88,2.55,1.0,97.57,35110000000.0,N/A,12.81,14.26,N/A,N/A,N/A,12550000000.0,1.0,N/A,10.17,10.70,3.80,5070000000.0,18.13,6440000000.0,0.38,84.51,4130000000.0,1.0,0.44,84.30,N/A,4.33,2.27,5480000.0,N/A
20,N/A,N/A,tsla,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,5.0,5.0,5.0,1.0,5.0,5.0,5.0,N/A,5.0,N/A,N/A,1.2,5.0,1.0,N/A,5.0,5.0,5.0,5.0,2.6,5.0,5.0,5.0,5.0,1.0,5.0,5.0,N/A,5.0,5.0,5.0,N/A
21,N/A,N/A,xom,N/A,,N/A,N/A,,N/A,N/A,23.73,34.60,1.67,1.98,4.76,2.18,0.84,1.0,50.37,351400000000.0,N/A,18.03,0.56,N/A,N/A,N/A,82510000000.0,1.0,N/A,2.4,121.50,31.80,4900000000.0,1.16,43610000000.0,0.81,41.81,25440000000.0,1.0,0.13,50.10,N/A,1.92,0.63,28840000.0,N/A
22,N/A,N/A,xray,N/A,,N/A,N/A,,N/A,N/A,19.00,40.38,3.71,1.77,9.42,13.38,2.78,1.0,16.71,14380000000.0,N/A,19.61,2.73,N/A,N/A,N/A,820800000.0,1.0,N/A,1.55,52.20,16.60,363300000.0,1.59,1550000000.0,2.30,35.46,645200000.0,1.0,N/A,N/A,N/A,4.86,2.85,6790000.0,N/A
